ok: F1 payload_bytes=0 rejected
ok: F1 payload_bytes%4!=0 rejected
ok: F1 slot_count<2 rejected
ok: F1 slot_count=1 rejected
ok: F1 slot_count>64 rejected
ok: F1 ring_bytes formula (TS parity)
ok: F1 reader geometry mismatch rejected
ok: F2 init succeeds
ok: F2 reader init succeeds
ok: F2 claim before any publish: null frame
ok: begin returns a cursor
ok: fill writes every word
ok: F2 publish returns frame 1
ok: F2 first publish: fresh, dropped=0
ok: payload words intact
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: F3 three unseen publishes: dropped=2
ok: payload words intact
ok: F4 ring init
ok: F4 reader init
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
ok: fill writes every word
ok: begin returns a cursor
